id,title,description,product_type,image_link
81214-C-M40-50,8 1/2 x 14 Legal Size Cardstock - Gold Metallic - Pack of 50,,,
81214-C-M49-50,8 1/2 x 14 Legal Size Cardstock - Jupiter Metallic - Red - Pack of 50,,,
81214-C-M50-50,8 1/2 x 14 Legal Size Cardstock - Lagoon Metallic - Green - Pack of 50,,,
81214-C-M77-50,8 1/2 x 14 Legal Size Cardstock - Sapphire Metallic - Blue - Pack of 50,,,
81214-C-M78-50,8 1/2 x 14 Legal Size Cardstock - Silver Metallic - Pack of 50,,,
81214-P-10-50,8 1/2 x 14 Legal Size Paper - Magenta - Pink - Pack of 50,,,
81214-P-101-50,8 1/2 x 14 Legal Size Paper - Limelight - Green - Pack of 50,,,
81214-P-102-50,8 1/2 x 14 Legal Size Paper - Pool - Blue - Pack of 50,,,
81214-P-103-50,8 1/2 x 14 Legal Size Paper - Navy - Blue - Pack of 50,,,
81214-P-104-50,8 1/2 x 14 Legal Size Paper - Vintage Plum - Purple - Pack of 50,,,
81214-P-106-50,8 1/2 x 14 Legal Size Paper - Wisteria - Purple - Pack of 50,,,
81214-P-11-50,8 1/2 x 14 Legal Size Paper - Mandarin - Orange - Pack of 50,,,
81214-P-112-50,8 1/2 x 14 Legal Size Paper - Tangerine - Orange - Pack of 50,,,
81214-P-113-50,8 1/2 x 14 Legal Size Paper - Seafoam - Blue - Pack of 50,,,
81214-P-12-50,8 1/2 x 14 Legal Size Paper - Sunflower - Yellow - Pack of 50,,,
81214-P-13-50,8 1/2 x 14 Legal Size Paper - Baby Blue - Pack of 50,,,
81214-P-14-50,8 1/2 x 14 Legal Size Paper - Candy Pink - Pack of 50,,,
81214-P-15-50,8 1/2 x 14 Legal Size Paper - Lemonade - Yellow - Pack of 50,,,
81214-P-17-50,8 1/2 x 14 Legal Size Paper - Chocolate - Brown - Pack of 50,,,
81214-P-18-50,8 1/2 x 14 Legal Size Paper - Ruby Red - Pack of 50,,,
81214-P-22-50,8 1/2 x 14 Legal Size Paper - Smoke - Gray - Pack of 50,,,
81214-P-23-50,8 1/2 x 14 Legal Size Paper - Boardwalk Blue - Pack of 50,,,
81214-P-25-50,8 1/2 x 14 Legal Size Paper - Teal - Blue - Pack of 50,,,
81214-P-26-50,8 1/2 x 14 Legal Size Paper - Garnet - Red - Pack of 50,,,
81214-P-60T15-50,8 1/2 x 14 Legal Size Paper - Holiday Red - Pack of 50,,,
81214-P-GB-50,8 1/2 x 14 Legal Size Paper - Grocery Bag - Brown - Pack of 50,,,
81214-P-L05-50,8 1/2 x 14 Legal Size Paper - Lilac - Purple - Pack of 50,,,
81214-P-L07-50,8 1/2 x 14 Legal Size Paper - Nude - Natural - Pack of 50,,,
81214-P-L17-50,8 1/2 x 14 Legal Size Paper - Holiday Green - Pack of 50,,,
81214-P-L20-50,8 1/2 x 14 Legal Size Paper - Citrus - Yellow - Pack of 50,,,
81214-P-L22-50,8 1/2 x 14 Legal Size Paper - Wasabi - Green - Pack of 50,,,
81214-P-M04-50,8 1/2 x 14 Legal Size Paper - Amethyst Metallic - Purple - Pack of 50,,,
81214-P-M05-50,8 1/2 x 14 Legal Size Paper - Anthracite Metallic - Gray - Pack of 50,,,
81214-P-M06-50,8 1/2 x 14 Legal Size Paper - Aquamarine Metallic - Blue - Pack of 50,,,
81214-P-M07-50,8 1/2 x 14 Legal Size Paper - Azalea Metallic - Pink - Pack of 50,,,
81214-P-M22-50,8 1/2 x 14 Legal Size Paper - Bronze Metallic - Brown - Pack of 50,,,
81214-P-M27-50,8 1/2 x 14 Legal Size Paper - Copper Metallic - Brown - Pack of 50,,,
81214-P-M30-50,8 1/2 x 14 Legal Size Paper - Crystal Metallic  - Pack of 50,,,
81214-P-M36-50,8 1/2 x 14 Legal Size Paper - Fairway Metallic - Green - Pack of 50,,,
81214-P-M38-50,8 1/2 x 14 Legal Size Paper - Flame Metallic - Orange - Pack of 50,,,
81214-P-M40-50,8 1/2 x 14 Legal Size Paper - Gold Metallic - Pack of 50,,,
81214-P-M49-50,8 1/2 x 14 Legal Size Paper - Jupiter Metallic - Red - Pack of 50,,,
81214-P-M50-50,8 1/2 x 14 Legal Size Paper - Lagoon Metallic - Green - Pack of 50,,,
81214-P-M77-50,8 1/2 x 14 Legal Size Paper - Sapphire Metallic - Blue - Pack of 50,,,
81214-P-M78-50,8 1/2 x 14 Legal Size Paper - Silver Metallic - Pack of 50,,,
HD-E054-50,6 x 9 Heavy Duty Poly Mailers - Gray Poly Mailers - Pack of 50,,,
HD-E055-50,9 x 12 Heavy Duty Poly Mailers - Gray Poly Mailers - Pack of 50,,,
HD-E056-50,12 x 15 1/2 Heavy Duty Plastic Mailers - Gray Poly Mailers - Pack of 50,,,
INVDW-50,Double Window Invoice Check Envelopes (4 1/8 x 9 1/8) - White w/ Peel & Seel_�___Ѣ_�___�� - Pack of 50,,,
INVDW-102-50,Double Window Invoice Check Envelopes (4 1/8 x 9 1/8) - Pool - Blue - Pack of 50,,,
INVDW-11-50,Double Window Invoice Check Envelopes (4 1/8 x 9 1/8) - Mandarin - Orange - Pack of 50,,,
INVDW-18-50,Double Window Invoice Check Envelopes (4 1/8 x 9 1/8) - Ruby Red - Pack of 50,,,
INVDW-28BK-50,Double Window Invoice Check Envelopes (4 1/8 x 9 1/8) - 28lb. Brown Kraft - Pack of 50,,,
INVDW-B-50,Double Window Invoice Check Envelopes (4 1/8 x 9 1/8) - Midnight Black - Pack of 50,,,
INVDW-GB-50,Double Window Invoice Check Envelopes (4 1/8 x 9 1/8) - Grocery Bag - Brown - Pack of 50,,,
INVDW-L20-50,Double Window Invoice Check Envelopes (4 1/8 x 9 1/8) - Citrus - Yellow - Pack of 50,,,
INVDW-L22-50,Double Window Invoice Check Envelopes (4 1/8 x 9 1/8) - Wasabi - Green - Pack of 50,,,
LUX-10BS-103-50,#10 Button & String Policy Envelopes (4 1/8 x 9 1/2) - Navy - Blue - Pack of 50,,,
LUX-10BS-18-50,#10 Button & String Policy Envelopes (4 1/8 x 9 1/2) - Ruby Red - Pack of 50,,,
LUX-LINER-10-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Magenta - Pink - Pack of 50,,,
LUX-LINER-101-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Limelight - Green - Pack of 50,,,
LUX-LINER-102-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Pool - Blue - Pack of 50,,,
LUX-LINER-103-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Navy - Blue - Pack of 50,,,
LUX-LINER-104-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Vintage Plum - Purple - Pack of 50,,,
LUX-LINER-106-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Wisteria - Purple - Pack of 50,,,
LUX-LINER-11-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Mandarin - Orange - Pack of 50,,,
LUX-LINER-112-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Tangerine - Orange - Pack of 50,,,
LUX-LINER-12-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Sunflower - Yellow - Pack of 50,,,
LUX-LINER-13-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Baby Blue - Pack of 50,,,
LUX-LINER-14-50,A7 Drop-In Envelope Liners (6 15/16 x 6 5/8) - Candy Pink - Pack of 50,,,
